name,team,position,tdc_grade,grade_num,ppg,rpg,apg,mpg
Dominykas Pleta,Iowa State,C,77,77,4.4,2.3,0.5,11.3
Taj Mannning,Iowa State,PF,75,75,4.2,5.1,0.9,20.7
Yusef Gray Jr.,Iowa State,PG,69,69,,,,
Xzavion Mitchell,Iowa State,SF,70,70,1.0,0.3,0.0,3.1
Dorian Rinaldo-Komlan,Iowa State,C,69,69,,,,
Christian Wiggins,Iowa State,SG,68,68,,,,
Jackson Kiss,Iowa State,PF,69,69,,,,
Taylen Kinney,Kansas,PG,83,83,,,,
Leroy Blyden Jr.,Kansas,PG,89,89,16.4,4.0,4.5,33.4
Tyran Stokes,Kansas,SF,94,94,,,,
Dennis Parker Jr.,Kansas,PF,82,82,18.3,5.9,1.3,29.3
Keanu Dawes,Kansas,PF,83,83,12.5,8.8,2.2,30.8
Kohl Rosario,Kansas,SF,78,78,3.4,1.3,0.4,11.6
Christian Reeves,Kansas,C,80,80,11.1,7.8,0.4,21.4
Paul Mbiya,Kansas,C,77,77,1.2,1.4,0.0,5.0
Trent Perry,Kansas,SF,70,70,,,,
Davion Adkins,Kansas,C,73,73,,,,
Luke Barnett,Kansas,SG,69,69,,,,
Grant Mordini,Kansas,PF,69,69,,,,
Atticus Richmond,Kansas,PF,63,63,,,,
Isaac Williams IV,Baylor,PG,84,84,10.4,2.2,3.3,25.0
Kayden Mingo,Baylor,PG,88,88,13.7,3.5,4.3,32.0
Elijah Williams,Baylor,SF,87,87,,,,
Isaac Celiscar,Baylor,PF,83,83,13.2,6.3,3.2,31.1
Juslin Bodo Bodo,Baylor,C,80,80,,,,
Dylan Mingo,Baylor,PG,84,84,,,,
Jacob Walker,Oklahoma State,PG,76,76,11.5,2.2,2.5,25.7
Jalen Montonati,Oklahoma State,SF,75,75,,,,
Ryan Crotty,Oklahoma State,SF,72,72,2.5,1.5,0.5,10.0
Mekhi Ragland,Oklahoma State,PF,69,69,1.4,1.6,0.2,5.6
Parker Robinson,Oklahoma State,SG,66,66,,,,
Miles Sadler,West Virginia,PG,86,86,,,,
Finley Bizjack,West Virginia,SG,86,86,17.1,2.2,2.5,34.0
Joson Sanon,West Virginia,SG,80,80,7.9,2.4,0.7,20.9
Javan Buchanan,West Virginia,PF,82,82,12.6,5.0,1.5,27.9
Mouhamed Sylla,West Virginia,C,82,82,9.6,7.2,0.6,21.4
Martin Somerville,West Virginia,SG,78,78,8.0,3.0,2.4,26.0
Seydou Traore,West Virginia,PF,76,76,9.0,3.4,2.0,28.8
Amir jenkins,West Virginia,SG,75,75,3.4,2.1,2.0,16.0
Amadou Seini,West Virginia,C,74,74,,,,
Aliou Dioum,West Virginia,C,66,66,,,,
Keonte Greybear,West Virginia,SG,66,66,,,,
Barrington Hargress,Colorado,PG,84,84,14.7,2.2,4.5,32.5
Josiah Sanders,Colorado,SG,77,77,4.4,2.6,1.7,17.9
Jalin Holland,Colorado,SG,76,76,4.9,2.7,0.8,17.4
Justin Neely,Colorado,PF,84,84,17.9,11.5,2.4,32.3
Noah Feddersen,Colorado,C,76,76,9.3,5.0,1.0,21.2
Ian Inman,Colorado,SF,75,75,4.1,1.0,0.4,10.4
Rider Portela,Colorado,SF,72,72,,,,
David Gomez,Colorado,PF,66,66,5.0,3.5,0.5,19.5
Goc Malual,Colorado,PF,68,68,,,,
Alex Dickerson,Colorado,PG,68,68,,,,
Eric Jacobsen,Colorado,C,69,69,,,,
Arturo Dean,UCF,PG,80,80,,,,
Dior Johnson,UCF,SG,84,84,24.0,3.3,1.6,26.4
Lewis Walker,UCF,SF,82,82,18.9,5.0,1.8,34.2
Isaiah Malone,UCF,PF,78,78,10.5,5.8,0.5,22.4
John Bol,UCF,C,79,79,5.9,5.5,0.3,18.8
Mister Dean,UCF,SF,79,79,10.3,3.7,3.0,17.3
Cayden Vasko,UCF,PG,76,76,10.4,4.5,4.1,31.9
Carmelo Pacheco,UCF,SG,75,75,4.6,1.3,0.4,15.6
Churchill Abass,UCF,C,74,74,8.4,5.7,0.5,20.1
Jason Asemota,UCF,SF,73,73,3.1,2.1,0.1,7.7
Christian Gibson,UCF,SG,70,70,,,,
Donovan Williams,UCF,PG,70,70,,,,
Ladarius Givan,UCF,PF,68,68,,,,
Elijah Hulsewe,UCF,C,65,65,1.1,1.4,0.1,4.7
Evan Chatman,Baylor,PF,77,77,8.8,8.8,1.1,28.9
Brett Decker Jr.,Baylor,SG,78,78,16.9,2.6,1.1,33.6
Andre Iguodala ll,Baylor,SF,68,68,,,,
Tegra Makabu,Baylor,PF,68,68,,,,
Maikcol Perez,Baylor,PF,66,66,,,,
Mayo Soyoye,Baylor,C,66,66,,,,
Brandon Rechsteiner,Kansas State,PG,77,77,12.0,2.2,2.5,27.8
Jaden Schutt,Kansas State,SG,77,77,7.7,1.6,0.9,24.7
Dezdrick Lindsay,Kansas State,SF,76,76,5.3,2.8,1.5,20.5
Isaiah Abraham,Kansas State,PF,77,77,4.8,2.9,0.7,19.9
JT Rock,Kansas State,C,76,76,6.2,3.5,0.4,12.8
Andrej Kostic,Kansas State,SG,76,76,5.2,1.7,1.0,13.8
Timotej Malovec,Kansas State,SF,74,74,4.2,1.3,0.9,14.9
Matt Gihool,Kansas State,PF,70,70,,,,
Papa N'Diaye,Kansas State,C,70,70,2.0,5.0,0.0,26.0
Jaylen Alexander,Kansas State,PG,67,67,,,,
Devin Hutcherson,Kansas State,SG,66,66,,,,
