name,team,position,tdc_grade,grade_num,ppg,rpg,apg,mpg
Viktor Mikic,Florida,PF,73,73,1.3,0.8,0.4,2.9
Alex Kovatchev,Florida,SG,70,70,0.5,0.4,0.1,3.3
Denzel Aberdeen,Florida,SG,84,84,13.5,2.5,3.4,30.6
Jalen Reece,Texas A&M,PG,80,80,5.8,1.8,3.6,23.8
PJ Haggerty,Texas A&M,SG,91,91,23.4,5.3,3.8,35.2
Bryson Warren,Texas A&M,SG,82,82,,,,
Mackenzie MgBako,Texas A&M,PF,84,84,10.4,4.9,1.3,18.7
Zach Clemence,Texas A&M,C,79,79,6.9,3.2,0.9,16.9
Jalen Shelly,Texas A&M,SF,78,78,13.7,6.6,2.7,31.1
Cade Phillips,Texas A&M,PF,78,78,3.8,4.0,0.4,16.9
Tyshawn Archie,Texas A&M,PG,78,78,14.3,1.9,2.9,25.7
Neiko Mundey,Texas A&M,PG,76,76,,,,
Jamie Vinson,Texas A&M,C,76,76,3.5,2.3,0.4,6.6
Lukas Walls,Texas A&M,SG,74,74,7.9,2.5,1.1,23.9
Jeremiah Green,Texas A&M,PG,70,70,0.9,0.1,0.5,4.0
Josh Irving,Texas A&M,C,71,71,,,,
Chrisopher McDermott,Texas A&M,PF,66,66,0.7,0.7,0.2,2.4
Jason Crowe Jr.,Missouri,PG,86,86,,,,
Kennard Davis Jr.,Missouri,SG,82,82,8.5,2.7,1.3,29.6
Jamier Jones,Missouri,SF,85,85,11.9,4.5,1.4,25.7
Trent Pierce,Missouri,PF,83,83,10.4,3.8,1.2,28.4
Isaiah Johnson,Texas,PG,87,87,16.9,2.9,3.0,30.6
Mikey Lewis,Texas,SG,89,89,13.9,2.7,2.1,26.8
Elyjah Freeman,Texas,SF,86,86,9.2,5.2,1.2,26.9
David Punch,Texas,PF,91,91,14.1,6.8,2.0,29.6
Matas Vokietaitis,Texas,C,89,89,15.6,7.1,0.6,26.0
Austin Goosby,Texas,SG,84,84,,,,
Amari Evans,Texas,SF,78,78,4.1,3.2,0.8,14.4
Mantas Laurencikas,Texas,PG,75,75,,,,
Bo Ogden,Texas,SG,73,73,,,,
John Clark,Texas,PF,71,71,,,,
Lewis Obiorah,Texas,C,70,70,,,,
Joe Sterling,Texas,SG,68,68,,,,
Coleman Elkins,Texas,C,65,65,,,,
Anthon McDermott,Texas,SG,62,62,0.9,0.6,0.3,2.9
Jordan Smith,Arkansas,PG,94,94,,,,
Abdou Toure,Arkansas,SF,84,84,,,,
Billy Richmond,Arkansas,SF,92,92,11.2,4.3,2.0,27.6
Miikka Muurinen,Arkansas,PF,79,79,,,,
Cooper Bowser,Arkansas,C,84,84,13.8,5.9,1.8,29.6
JJ Andrews,Arkansas,SG,84,84,,,,
Jeremiah Wilkinson,Arkansas,SG,84,84,17.4,2.0,1.7,25.7
Isaiah Sealy,Arkansas,SF,73,73,2.9,1.3,0.6,7.0
Jaden Karuletwa,Arkansas,SG,64,64,0.6,0.3,0.1,2.6
Maper Maker,Arkansas,C,68,68,,,,
Paulo Semedo,Arkansas,C,62,62,,,,
Tahaad Pettiford,Auburn,PG,88,88,15.4,3.0,3.8,32.3
George Kimble lll,Auburn,PG,83,83,18.0,3.7,3.2,29.7
Kevin Overton,Auburn,SF,86,86,14.1,3.3,1.3,31.7
Thomas Dowd,Auburn,PF,83,83,14.4,10.1,2.1,36.0
Bukky Oboye,Auburn,C,78,78,7.9,4.1,0.6,17.8
Mantas Rubstavicius,Auburn,SF,80,80,,,,
Owen Freeman,Auburn,C,77,77,5.0,4.0,0.9,11.9
Adam Olsen,Auburn,SF,79,79,16.7,4.1,0.9,35.8
Simon Walker,Auburn,SG,75,75,2.5,0.5,0.2,5.0
Caleb Williams,Auburn,SG,70,70,,,,
Narcisse Ngoy,Auburn,C,68,68,,,,
Divine Ugochukwu,LSU,PG,73,73,5.1,1.5,1.5,16.1
Abdi Bashir Jr.,LSU,SG,83,83,13.2,2.2,2.3,24.7
Marcio Santos,LSU,PF,84,84,,,,
Saliou Niang,LSU,PF,85,85,,,,
Michael Ruzic,LSU,C,82,82,,,,
Mouhamed Dioubate,LSU,PF,79,79,8.8,5.5,1.0,21.6
Austin Nunez,LSU,PG,73,73,9.8,2.1,2.8,28.5
Brice Dessert,LSU,C,84,84,,,,
RJ Luis,LSU,SF,96,96,,,,
Yam Madar,LSU,PG,90,90,,,,
Bryson Tiller,Missouri,PF,85,85,7.9,6.1,1.0,25.9
Jaylen Carey,Missouri,C,81,81,7.4,6.0,1.3,18.5
Toni Bryant,Missouri,PF,81,81,,,,
Annor Boateng,Missouri,SG,74,74,2.7,1.8,0.3,11.5
Jordan Crawford,Missouri,SG,78,78,14.4,2.9,1.4,31.0
Aaron Rowe,Missouri,PG,72,72,,,,
Trent Burns,Missouri,C,71,71,2.0,1.8,0.1,8.2
Nicholas Randall,Missouri,PF,70,70,0.7,1.0,0.1,5.5
Aidan Chronister,Missouri,SF,71,71,,,,
Luke Northweather,Missouri,PF,71,71,3.0,2.4,0.6,12.4
Budd Clark,Ole Miss,PG,85,85,12.7,3.0,4.9,30.6
Ilias Kamardine,Ole Miss,SG,80,80,11.3,3.4,3.8,31.1
Patton Pinkins,Ole Miss,SF,79,79,9.3,1.9,0.9,24.9
Roman Siulepa,Ole Miss,PF,79,79,10.0,5.5,0.9,26.6
Santiago Trouet,Ole Miss,C,79,79,8.1,6.1,0.9,25.6
Dasear Haskins,Ole Miss,PF,76,76,11.1,6.4,1.4,27.8
TJ Clark,Ole Miss,SG,75,75,,,,
Yohance Connor,Ole Miss,SG,71,71,,,,
Christian Brown,Ole Miss,PF,69,69,3.0,3.8,0.4,13.3
Stefan Cicic,Ole Miss,C,71,71,4.5,2.6,0.3,12.4
Jaron Saulsberry,Ole Miss,SF,68,68,,,,
Daniel Patton,Ole Miss,PF,60,60,,,,
King Grace,Mississippi State,PG,76,76,5.1,1.3,0.4,12.2
Josh Hubbard,Mississippi State,SG,91,91,22.1,2.5,3.6,33.3
TJ Simpkins,Mississippi State,SF,79,79,9.7,2.8,1.2,25.1
Kendyl Sanders,Mississippi State,PF,76,76,5.2,3.1,0.7,20.1
ND Okafor,Mississippi State,C,80,80,11.0,5.7,0.9,23.2
Thomas Bassong,Mississippi State,SF,76,76,5.9,3.5,0.4,19.3
RJ Johnson,Mississippi State,PG,77,77,14.5,3.1,4.0,28.1
Tee Bartlett,Mississippi State,C,72,72,,,,
Jalyn Collingwood,Mississippi State,SF,70,70,,,,
Willie Burnett lll,Mississippi State,SG,70,70,,,,
Tristan Reed,Mississippi State,C,70,70,,,,
Ashton Magee,Mississippi State,PF,67,67,3.0,1.7,0.2,11.3
Cameron Paul,Mississippi State,SF,67,67,,,,
Trevor Reed,Mississippi State,SG,64,64,,,,
Xzayvier Brown,Oklahoma,PG,85,85,15.4,3.2,3.3,32.4
Pop Isaacs,Oklahoma,PG,82,82,9.8,2.5,2.6,22.3
Derrion Reid,Oklahoma,SF,85,85,11.7,4.4,1.1,27.5
Dai Dai Ames,Tennessee,PG,85,85,16.9,2.0,2.2,31.8
Terrence Hill Jr.,Tennessee,SG,87,87,15.0,2.7,2.8,25.1
Juke Harris,Tennessee,SF,90,90,21.4,6.5,1.9,35.2
Jalen Haralson,Tennessee,PF,86,86,16.2,4.0,2.6,26.6
Miles Rubin,Tennessee,C,82,82,11.3,7.1,2.3,29.7
Tyler Lundblade,Tennessee,SF,85,85,15.6,2.7,1.8,34.3
Chris Washington Jr.,Tennessee,SF,80,80,,,,
DeWayne Brown II,Tennessee,PF,78,78,4.8,3.6,0.9,14.7
Braeden Lue,Tennessee,PF,78,78,10.9,5.3,1.2,26.5
Troy Henderson,Tennessee,PG,71,71,1.8,0.4,1.0,6.9
Christian Fermin,Tennessee,C,73,73,0.8,2.5,0.8,13.0
Ralph Scott,Tennessee,SF,75,75,,,,
Manny Green,Tennessee,SF,72,72,,,,
Ethan Burg,Tennessee,SG,70,70,2.5,0.9,1.1,10.7
Marquis Clark,Tennessee,PG,67,67,,,,
Kory Mincy,South Carolina,PG,84,84,14.3,3.6,2.9,33.9
Davion Hannah,South Carolina,SG,77,77,3.3,1.9,0.8,12.7
Camden Heide,South Carolina,SF,76,76,5.9,2.7,0.7,22.5
Juan Fernandez,South Carolina,PF,81,81,,,,
Aleksas Bieliauskas,South Carolina,PF,79,79,4.9,4.4,0.9,20.2
Shane Blakeney,South Carolina,SG,78,78,14.2,5.1,2.5,33.7
Jakub Necas,South Carolina,PF,75,75,6.9,5.1,1.1,24.4
Marcus Johnson,South Carolina,PG,76,76,,,,
Grant Polk,South Carolina,PF,69,69,3.8,1.1,0.1,12.9
Hayden Assemian,South Carolina,SF,69,69,2.4,2.5,0.3,9.8
Khani Rooths,Oklahoma,PF,78,78,5.3,4.3,1.0,15.9
Akoldah Gak,Oklahoma,C,78,78,,,,
Dayton Forsythe,Oklahoma,SG,76,76,5.3,1.4,1.8,17.2
Kai Rogers,Oklahoma,C,75,75,1.6,1.9,0.4,8.0
Quincy Wadley,Oklahoma,SG,77,77,,,,
Tyler Hendricks,Oklahoma,SG,76,76,11.8,4.3,1.9,29.8
Yaak Yaak,Oklahoma,C,72,72,6.6,2.2,0.4,15.1
Gage Mayfield,Oklahoma,SF,73,73,,,,
Smurf Millender,Georgia,PG,83,83,12.0,2.8,4.1,26.1
Blue Cain,Georgia,SG,83,83,13.1,5.1,2.6,27.8
Freddie Dilione V,Georgia,SF,83,83,14.0,3.2,2.2,27.5
Kanon Catchings,Georgia,SF,82,82,11.6,4.8,1.2,23.3
James Scott,Georgia,C,77,77,3.9,4.6,0.6,17.9
Kareem Stagg,Georgia,PF,75,75,4.8,2.4,0.6,12.8
Brady Dunlap,Georgia,PF,73,73,7.0,2.0,0.9,17.0
Hakeem Weems,Georgia,C,70,70,,,,
Mading Kuany,Georgia,SF,70,70,,,,
Andrew Osauyi,Georgia,C,70,70,3.7,2.8,0.2,11.9
Kemo Millender,Georgia,PG,65,65,,,,
