espn_id,season,name,decision,row_id,row_team,kept_id,kept_team
4702741,2025,Keegan Harvey,UNRESOLVED (no bbref row),19808,Bryant,,
4702741,2025,Keegan Harvey,UNRESOLVED (no bbref row),50796,George Washington,,
5241663,2025,Keenan Garner,KEEP (bbref=IU Indy),51041,IU Indy,,
5241663,2025,Keenan Garner,DELETE (phantom),19818,Central Michigan,51041,IU Indy
4684207,2023,Keeyan Itejere,KEEP (bbref=Marquette),31206,Marquette,,
4684207,2023,Keeyan Itejere,DELETE (phantom),19822,Rhode Island,31206,Marquette
4684207,2024,Keeyan Itejere,KEEP (bbref=Northern Kentucky),47521,Northern Kentucky,,
4684207,2024,Keeyan Itejere,DELETE (phantom),19823,Rhode Island,47521,Northern Kentucky
4684207,2025,Keeyan Itejere,UNRESOLVED (no bbref row),19824,Rhode Island,,
4684207,2025,Keeyan Itejere,UNRESOLVED (no bbref row),52320,Northern Kentucky,,
4702212,2022,Keishon Porter,UNRESOLVED (no bbref row),19829,Evansville,,
4702212,2022,Keishon Porter,UNRESOLVED (no bbref row),27689,Radford,,
4702212,2024,Keishon Porter,KEEP (bbref=North Carolina Central),47374,North Carolina Central,,
4702212,2024,Keishon Porter,DELETE (phantom),19831,Evansville,47374,North Carolina Central
4702212,2025,Keishon Porter,KEEP (bbref=North Carolina Central),52171,North Carolina Central,,
4702212,2025,Keishon Porter,DELETE (phantom),19832,Evansville,52171,North Carolina Central
5241440,2025,Keitenn Bristow,KEEP (bbref=Tarleton State),53396,Tarleton State,,
5241440,2025,Keitenn Bristow,DELETE (phantom),19834,Alabama,53396,Tarleton State
4585609,2022,Keith Lamar,KEEP (bbref=Stetson),28215,Stetson,,
4585609,2022,Keith Lamar,DELETE (phantom),19836,Southern,28215,Stetson
4585609,2024,Keith Lamar,KEEP (bbref=Florida A&M),45924,Florida A&M,,
4585609,2024,Keith Lamar,DELETE (phantom),19838,Southern,45924,Florida A&M
4585609,2025,Keith Lamar,KEEP (bbref=Stephen F. Austin),53315,Stephen F. Austin,,
4585609,2025,Keith Lamar,DELETE (phantom),19839,Southern,53315,Stephen F. Austin
5106673,2023,Kelechi Okworogwo,KEEP (bbref=Austin Peay),29362,Austin Peay,,
5106673,2023,Kelechi Okworogwo,DELETE (phantom),19851,North Carolina Central,29362,Austin Peay
5106673,2024,Kelechi Okworogwo,UNRESOLVED (no bbref row),46827,Maryland,,
5106673,2024,Kelechi Okworogwo,UNRESOLVED (no bbref row),19852,North Carolina Central,,
5113385,2023,Kellan Boylan,KEEP (bbref=Air Force),29132,Air Force,,
5113385,2023,Kellan Boylan,DELETE (phantom),19854,Lipscomb,29132,Air Force
5113385,2024,Kellan Boylan,UNRESOLVED (no bbref row),44858,Air Force,,
5113385,2024,Kellan Boylan,UNRESOLVED (no bbref row),19855,Lipscomb,,
5109018,2023,Kendall Blue,UNRESOLVED (bbref=St. Thomas matched 0 rows),19871,Nebraska,,
5109018,2023,Kendall Blue,UNRESOLVED (bbref=St. Thomas matched 0 rows),32800,William & Mary,,
5109018,2024,Kendall Blue,UNRESOLVED (no bbref row),19872,Nebraska,,
5109018,2024,Kendall Blue,UNRESOLVED (no bbref row),48436,William & Mary,,
5109018,2025,Kendall Blue,UNRESOLVED (bbref=St. Thomas matched 0 rows),19873,Nebraska,,
5109018,2025,Kendall Blue,UNRESOLVED (bbref=St. Thomas matched 0 rows),53280,William & Mary,,
4685654,2024,Kennard Davis Jr.,KEEP (bbref=Southern Illinois),48373,Southern Illinois,,
4685654,2024,Kennard Davis Jr.,DELETE (phantom),19880,Brigham Young,48373,Southern Illinois
4685654,2025,Kennard Davis Jr.,KEEP (bbref=Southern Illinois),53193,Southern Illinois,,
4685654,2025,Kennard Davis Jr.,DELETE (phantom),19881,Brigham Young,53193,Southern Illinois
5107262,2023,Kennedy Brown,KEEP (bbref=Omaha),32014,Omaha,,
5107262,2023,Kennedy Brown,DELETE (phantom),19883,Florida International,32014,Omaha
5243208,2025,Kent Jackson,KEEP (bbref=Jacksonville),51210,Jacksonville,,
5243208,2025,Kent Jackson,DELETE (phantom),19893,North Florida,51210,Jacksonville
5107508,2023,Kenyon Giles,UNRESOLVED (no bbref row),19896,Wichita State,,
5107508,2023,Kenyon Giles,UNRESOLVED (no bbref row),32250,Radford,,
5107508,2024,Kenyon Giles,KEEP (bbref=Radford),47891,Radford,,
5107508,2024,Kenyon Giles,DELETE (phantom),19897,Wichita State,47891,Radford
5107508,2025,Kenyon Giles,KEEP (bbref=UNC Greensboro),53800,UNC Greensboro,,
5107508,2025,Kenyon Giles,DELETE (phantom),19898,Wichita State,53800,UNC Greensboro
5106037,2023,Keon Thompson,KEEP (bbref=Massachusetts),31246,Massachusetts,,
5106037,2023,Keon Thompson,DELETE (phantom),19902,Stephen F. Austin,31246,Massachusetts
5106037,2024,Keon Thompson,UNRESOLVED (no bbref row),19903,Stephen F. Austin,,
5106037,2024,Keon Thompson,UNRESOLVED (no bbref row),46851,Massachusetts,,
5175785,2024,Keonte Jones,KEEP (bbref=Cal State Northridge),45351,Cal State Northridge,,
5175785,2024,Keonte Jones,DELETE (phantom),19906,Dayton,45351,Cal State Northridge
5175785,2025,Keonte Jones,KEEP (bbref=Cal State Northridge),49990,Cal State Northridge,,
5175785,2025,Keonte Jones,DELETE (phantom),19907,Dayton,49990,Cal State Northridge
5241488,2025,Kernan Bundy,KEEP (bbref=Iona),51152,Iona,,
5241488,2025,Kernan Bundy,DELETE (phantom),19910,Kansas City,51152,Iona
4683633,2022,Kerr Kriisa,UNRESOLVED (no bbref row),19912,Cincinnati,,
4683633,2022,Kerr Kriisa,UNRESOLVED (no bbref row),24971,Arizona,,
4683633,2023,Kerr Kriisa,KEEP (bbref=Arizona),29258,Arizona,,
4683633,2023,Kerr Kriisa,DELETE (phantom),19913,Cincinnati,29258,Arizona
4683633,2024,Kerr Kriisa,KEEP (bbref=West Virginia),49282,West Virginia,,
4683633,2024,Kerr Kriisa,DELETE (phantom),19914,Cincinnati,49282,West Virginia
4683633,2025,Kerr Kriisa,KEEP (bbref=Kentucky),51322,Kentucky,,
4683633,2025,Kerr Kriisa,DELETE (phantom),19915,Cincinnati,51322,Kentucky
4602029,2022,Keshawn Williams,KEEP (bbref=Northern Illinois),38017,Northern Illinois,,
4602029,2022,Keshawn Williams,DELETE (phantom),19924,Iona,38017,Northern Illinois
4602029,2023,Keshawn Williams,KEEP (bbref=Northern Illinois),31829,Northern Illinois,,
4602029,2023,Keshawn Williams,DELETE (phantom),19925,Iona,31829,Northern Illinois
4602029,2024,Keshawn Williams,KEEP (bbref=Northern Illinois),47493,Northern Illinois,,
4602029,2024,Keshawn Williams,DELETE (phantom),19926,Iona,47493,Northern Illinois
4602029,2025,Keshawn Williams,KEEP (bbref=Colorado State),50245,Colorado State,,
4602029,2025,Keshawn Williams,DELETE (phantom),19927,Iona,50245,Colorado State
5176314,2025,Kevin Overton,KEEP (bbref=Texas Tech),53529,Texas Tech,,
5176314,2025,Kevin Overton,DELETE (phantom),19942,Auburn,53529,Texas Tech
5176443,2024,Kevin Patton Jr.,KEEP (bbref=San Diego),48176,San Diego,,
5176443,2024,Kevin Patton Jr.,DELETE (phantom),19944,New Mexico,48176,San Diego
5176443,2025,Kevin Patton Jr.,KEEP (bbref=Southern California),53852,Southern California,,
5176443,2025,Kevin Patton Jr.,DELETE (phantom),19945,New Mexico,53852,Southern California
5238199,2025,Kevin Pazmino,KEEP (bbref=Florida),50668,Florida,,
5238199,2025,Kevin Pazmino,DELETE (phantom),19947,Nicholls State,50668,Florida
